id,url,primaryTitle,originalTitle,type,description,primaryImage,trailer,contentRating,isAdult,releaseDate,startYear,endYear,runtimeMinutes,genres,interests,countriesOfOrigin,externalLinks,spokenLanguages,filmingLocations,productionCompanies,budget,grossWorldwide,averageRating,numVotes,metascore
tt30319555,https://www.imdb.com/title/tt30319555/,Frida,Frida,movie,"A raw and magical journey into the life of iconic artist Frida Kahlo, told through her own words from diaries, letters, essays, and interviews. Vividly brought to life with lyrical animation inspired by her unforgettable artwork.",https://m.media-amazon.com/images/M/MV5BZGFjZTEwZTItOTM4OS00MzgxLTk1YjktMjlhMmJmMDA0OTdjXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=dlrqxAgdY58,R,False,2024-03-14,2024,,87.0,"['Animation', 'Documentary']","['Animation', 'Documentary']",['US'],,['es'],,"[{'id': 'co0732934', 'name': 'Imagine Documentaries'}, {'id': 'co0129187', 'name': 'Storyville Films'}, {'id': 'co0244460', 'name': 'Time Studios'}]",,,7.4,1508,75.0
tt35682253,https://www.imdb.com/title/tt35682253/,Kid Vampire,Kid Vampire,movie,Kid vampire got sent to human school by his father to take blood from kids but he makes a friend.,https://m.media-amazon.com/images/M/MV5BYTk2MWJhODItOTA5Mi00MTk1LTk5YmYtNjQ4ZWM4ZTlkOWI3XkEyXkFqcGc@._V1_.jpg,,,False,2025-02-08,2025,,50.0,"['Animation', 'Comedy', 'Family']","['Animation', 'Comedy', 'Family', 'Fantasy']",['US'],['https://www.youtube.com/watch?v=2JqDneQLX0s'],['en'],,[],,,7.7,10,
tt32223312,https://www.imdb.com/title/tt32223312/,No Time to Spy: A Loud House Movie,No Time to Spy: A Loud House Movie,movie,"Lincoln and the Louds are ecstatic to welcome their new Gran-Gran, Myrtle, into the family with a tropical wedding celebration, but the festivities are cut short when an old nemesis from Myrtle's secret agent past appears on the island.",https://m.media-amazon.com/images/M/MV5BYzFkMmZlOTQtZmMwNS00NWNiLWI2Y2YtZDQ3MTBiYWYwYTQ2XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=3gPGMqXUFl0,TV-Y7,False,2024-06-21,2024,,81.0,"['Action', 'Adventure', 'Animation']","['Hand-Drawn Animation', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']","['US', 'CA']",['https://twitter.com/ToonHive/status/1783918631648154019'],,,"[{'id': 'co0011615', 'name': 'Nickelodeon Productions'}]",,,6.3,473,
tt18310498,https://www.imdb.com/title/tt18310498/,Mars,Mars,movie,"A zany crew of misfits blasts off to Mars, only to find they've been duped by a scheming billionaire. Chaos ensues as they face bizarre challenges and unexpected surprises on their wacky interplanetary journey.",https://m.media-amazon.com/images/M/MV5BNDRiYzlmMzItN2Y2Ni00MmQ0LTlhNjMtYzg1NzE4N2FiZDgxXkEyXkFqcGc@._V1_.jpg,,,False,2024-06-06,2024,,84.0,"['Animation', 'Comedy', 'Fantasy']","['Sketch Comedy', 'Animation', 'Comedy', 'Fantasy', 'Sci-Fi']",['US'],"['https://wkukplus.com/', 'https://wkukplus.com/mars']",['en'],,"[{'id': 'co0502516', 'name': 'Midnight Kids Studios'}]",400000.0,,7.4,23,
tt30150917,https://www.imdb.com/title/tt30150917/,Justice League: Crisis on Infinite Earths - Part Three,Justice League: Crisis on Infinite Earths - Part Three,movie,"Trapped in a pocket universe, surviving Earths face annihilation by the Anti-Monitor. Time shatters, bringing past heroes to aid Justice League against the epitome of evil. Their sacrifice may lead to victory.",https://m.media-amazon.com/images/M/MV5BMzZmODkzMGEtMzQ2OC00ZTY2LWFjNTUtMjBkZGFmMTU5ZmYxXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=tQ3Aahb_PDE,PG-13,False,2024-07-16,2024,,94.0,"['Action', 'Adventure', 'Animation']","['Superhero', 'Action', 'Adventure', 'Animation', 'Drama', 'Fantasy', 'Sci-Fi']",['US'],,['en'],,"[{'id': 'co0123927', 'name': 'DC Entertainment'}, {'id': 'co0072876', 'name': 'Warner Bros. Animation'}]",,,6.0,4621,
tt26598653,https://www.imdb.com/title/tt26598653/,Animal Adventures: Save the Forest,Animal Adventures: Save the Forest,movie,"""Animal Adventures: Save The Forest"" portrays Softie and her friends as they fight to save their home from a garbage invasion by an automated factory. This 3D animated film highlights adventure, friendship, and environmental protection.",https://m.media-amazon.com/images/M/MV5BYzRiY2VjZGItYTQyZS00Zjc1LWJjNzgtYTFmM2MzMmQwMzA5XkEyXkFqcGc@._V1_.jpg,,,False,2024-02-25,2024,,85.0,['Animation'],['Animation'],"['US', 'ES']",,['en'],,"[{'id': 'co0722277', 'name': 'Canary Film Factory'}, {'id': 'co0722277', 'name': 'Canary Film Factory'}, {'id': 'co0582679', 'name': 'Epc Media'}]",5000000.0,,7.7,34,
tt31021863,https://www.imdb.com/title/tt31021863/,Boys Go to Jupiter,Boys Go to Jupiter,movie,"A teenager in suburban Florida desperately hustles to make $5,000 in this dreamy and surreal animated coming-of-age story.",https://m.media-amazon.com/images/M/MV5BZWFiMjVmMWMtYzMxYi00NDA5LTk3OTctM2ZkMmU3NDA3NmMzXkEyXkFqcGc@._V1_.jpg,,,False,2024-06-07,2024,,90.0,['Animation'],['Animation'],['US'],,['en'],,[],,,7.1,104,
tt33086688,https://www.imdb.com/title/tt33086688/,The Car Acrobatic Team Saga,The Car Acrobatic Team Saga,movie,Speed Racer battles the treacherous Car Acrobatic Team in his most dangerous race.,https://m.media-amazon.com/images/M/MV5BYWQ4OTljMTAtYzkyNi00N2JhLTljNDQtMTJjYTg1ODk4ODRhXkEyXkFqcGc@._V1_.jpg,,,False,2024-07-15,2024,,112.0,['Animation'],['Animation'],['US'],['https://youtu.be/C3cPaHxVke4?list=PL1CyyBilsXRRs7gYDzPUvBBH7Bo_OWgxp'],,,"[{'id': 'co0048904', 'name': 'Tatsunoko Production'}]",50000.0,,6.8,11,
tt7510222,https://www.imdb.com/title/tt7510222/,Despicable Me 4,Despicable Me 4,movie,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",https://m.media-amazon.com/images/M/MV5BNzY0ZTlhYzgtOTgzZC00ZTg2LTk4NTEtZDllM2E2NGE5Njg2XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=qQlr9-rF32A,PG,False,2024-07-03,2024,,94.0,"['Adventure', 'Animation', 'Comedy']","['Computer Animation', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",['US'],"['https://www.facebook.com/minions', 'https://www.instagram.com/minions/']","['en', 'fr']",,"[{'id': 'co0005073', 'name': 'Universal Pictures'}, {'id': 'co0221986', 'name': 'Illumination Entertainment'}]",100000000.0,969547158.0,6.2,66539,52.0
tt32560777,https://www.imdb.com/title/tt32560777/,Plankton: The Movie,Plankton: The Movie,movie,"When Karen the Computer decides to take over the world, it's up to Plankton to stop her - with a little help from SpongeBob and the Gal Pals (Pearl, Sandy, and Mrs. Puff).",https://m.media-amazon.com/images/M/MV5BYmYyZjUzYjgtY2U1My00MTA4LTllNWEtNWU3ZThkOWRmMTY1XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=IHRScjhllsQ,TV-PG,False,2025-03-07,2025,,87.0,"['Adventure', 'Animation', 'Comedy']","['Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",['US'],,['en'],,"[{'id': 'co0044395', 'name': 'Nickelodeon Animation Studios'}, {'id': 'co0004265', 'name': 'Nickelodeon Movies'}]",,,5.3,3095,61.0
tt31614867,https://www.imdb.com/title/tt31614867/,DreadClub: Vampire's Verdict,DreadClub: Vampire's Verdict,movie,"Betty Gray, a college student obsessed with gothic romances, finds herself living one when she falls for Duchamps De Ve--a man on trial for being a vampire.",https://m.media-amazon.com/images/M/MV5BNDc2ZjNiMzEtNjMxNC00Mzc1LWFjYTMtOTE1MzFlZjMwZDRjXkEyXkFqcGc@._V1_.jpg,,,False,2024-07-26,2024,,,"['Animation', 'Horror', 'Mystery']","['Animation', 'Horror', 'Mystery', 'Romance']",['US'],,['en'],,[],405.0,,5.0,60,
tt36120770,https://www.imdb.com/title/tt36120770/,A Tooth Fairy Tale,A Tooth Fairy Tale,movie,"A rebellious tooth fairy, a cuddly troll, and a brilliant goblin scientist unite to save their magical worlds from menacing spiders.",https://m.media-amazon.com/images/M/MV5BMDRlOTkxOTctNzViMi00NTA0LWFhYWMtZjhlNDljZGUzYmI0XkEyXkFqcGc@._V1_.jpg,,,False,,2025,,90.0,['Animation'],['Animation'],['US'],,['en'],,"[{'id': 'co1121313', 'name': 'Rebellion Animation'}]",,,8.1,9,
tt8864596,https://www.imdb.com/title/tt8864596/,Transformers One,Transformers One,movie,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",https://m.media-amazon.com/images/M/MV5BZWI1ZDY1YTQtMjRkNy00ZDZhLWE3OTItMTIwNzliY2Y1MTZhXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=5a09yJU-mCI,PG,False,2024-09-20,2024,,104.0,"['Action', 'Adventure', 'Animation']","['Action Epic', 'Adventure Epic', 'Computer Animation', 'Fantasy Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Animation', 'Family']",['US'],,['en'],,"[{'id': 'co0390995', 'name': 'Paramount Animation'}, {'id': 'co1014953', 'name': 'Hasbro Entertainment'}, {'id': 'co0644194', 'name': 'New Republic Pictures'}]",75000000.0,129408392.0,7.6,52001,65.0
tt22022452,https://www.imdb.com/title/tt22022452/,Inside Out 2,Inside Out 2,movie,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",https://m.media-amazon.com/images/M/MV5BYWY3MDE2Y2UtOTE3Zi00MGUzLTg2MTItZjE1ZWVkMGVlODRmXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=LEjhY15eCx0,PG,False,2024-06-14,2024,,96.0,"['Adventure', 'Animation', 'Comedy']","['Coming-of-Age', 'Computer Animation', 'Quest', 'Teen Comedy', 'Teen Drama', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",['US'],"['https://www.hotstar.com/in/movies/inside-out-2/1271325263', 'https://www.instagram.com/p/CiTkL-wMQ5a/']","['en', 'fr', 'es']","['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","[{'id': 'co0008970', 'name': 'Walt Disney Pictures'}, {'id': 'co0017902', 'name': 'Pixar Animation Studios'}, {'id': 'co0041001', 'name': 'Hurwitz Creative'}]",200000000.0,1698863816.0,7.5,218704,73.0
tt29258548,https://www.imdb.com/title/tt29258548/,Gracie and Pedro: Pets to the Rescue,Gracie and Pedro: Pets to the Rescue,movie,A pampered show dog and a street-smart alley cat embark on a thrilling journey to find their family after being separated during a cross-country move.,https://m.media-amazon.com/images/M/MV5BZTg4MjliYWUtMjc1NS00NWNkLWJkYzQtMzg4MmZhMzU0N2FiXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=MfHkYHGOfCo,PG,False,2024-05-23,2024,,87.0,"['Adventure', 'Animation', 'Comedy']","['Adventure', 'Animation', 'Comedy', 'Family']","['CA', 'ZA', 'US']","['https://tv.apple.com/movie/gracie-and-pedro-mission-impossible/umc.cmc.47ggsc5bm74a6jzp5094fiko2', 'http://www.gracieandpedro.com/']",['en'],,"[{'id': 'co0195700', 'name': 'Second Chance Productions'}, {'id': 'co0835313', 'name': 'Polycat Visual Effects'}, {'id': 'co1072191', 'name': 'Ferin Post Production'}]",,1601719.0,5.0,280,
tt21240944,https://www.imdb.com/title/tt21240944/,The Ballad of Straw Hat Sam,The Ballad of Straw Hat Sam,movie,"When two unlikely friends embark on a journey to find the world's best bourbon, they encounter strangers, freaks, and a plethora of zany horrors that will leave them forever changed.",https://m.media-amazon.com/images/M/MV5BMGE0ZDdjYTEtOTQwMi00ODYzLTk1ZTgtNTc4MjNiZWY4NjY0XkEyXkFqcGc@._V1_.jpg,,,False,2024-11-15,2024,,45.0,"['Adventure', 'Animation', 'Comedy']","['Buddy Comedy', 'Hand-Drawn Animation', 'Sketch Comedy', 'Adventure', 'Animation', 'Comedy']",['US'],,['en'],,"[{'id': 'co1054897', 'name': 'Package Productions'}, {'id': 'co1054898', 'name': 'Urinal Cake Productions'}]",,,9.1,10,
tt7959138,https://www.imdb.com/title/tt7959138/,10 Lives,10 Lives,movie,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey.",https://m.media-amazon.com/images/M/MV5BMDY3YTBlZDUtZTViNC00Njk5LTllOWEtNmIwZDMxNDU0MDNiXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=RYiN-h_Kbhs,TV-G,False,2024-10-11,2024,,88.0,"['Animation', 'Comedy', 'Family']","['Animal Adventure', 'Isekai', 'Animation', 'Comedy', 'Family', 'Fantasy']","['GB', 'CA', 'FR', 'CN', 'US']",,['en'],,"[{'id': 'co0713538', 'name': 'GFM Animation'}, {'id': 'co0754311', 'name': 'Align'}, {'id': 'co0259111', 'name': 'Caramel Films'}]",,17055242.0,5.9,1970,
tt13622970,https://www.imdb.com/title/tt13622970/,Moana 2,Moana 2,movie,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",https://m.media-amazon.com/images/M/MV5BZDUxNThhYTUtYjgxNy00MGQ4LTgzOTEtZjg1YTU5NTcwNThlXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=hDZ7y8RP5HE,PG,False,2024-11-27,2024,,100.0,"['Adventure', 'Animation', 'Comedy']","['Computer Animation', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']","['US', 'CA']",['https://movies.disney.com/moana-2?'],"['en', 'sm']","['Walt Disney Animation Studios, Vancouver BC']","[{'id': 'co0060743', 'name': 'Walt Disney Animation Canada'}, {'id': 'co0074039', 'name': 'Walt Disney Animation Studios'}, {'id': 'co0008970', 'name': 'Walt Disney Pictures'}]",150000000.0,1059242164.0,6.6,105136,58.0
tt30150907,https://www.imdb.com/title/tt30150907/,Justice League: Crisis on Infinite Earths - Part Two,Justice League: Crisis on Infinite Earths - Part Two,movie,The Anti-Monitor (the Monitor's evil counterpart) is released into the DC Multiverse and begins to destroy the different Earths that compose it. The Monitor attempts to recruit heroes from across the Multiverse to fight back.,https://m.media-amazon.com/images/M/MV5BNWIzNDFkMDAtMTcyZi00Yjc0LWI0MDAtZGM3NmU0YzkyMGU2XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=w6jtfmXziNQ,PG-13,False,2024-04-23,2024,,94.0,"['Action', 'Adventure', 'Animation']","['Superhero', 'Action', 'Adventure', 'Animation', 'Fantasy', 'Sci-Fi']",['US'],,['en'],,"[{'id': 'co0123927', 'name': 'DC Entertainment'}, {'id': 'co0072876', 'name': 'Warner Bros. Animation'}]",,,5.5,5435,
tt32639595,https://www.imdb.com/title/tt32639595/,Hello My Beautiful Creatures,Hello My Beautiful Creatures,movie,"This whimsical stop-motion musical tells the tale of a utopian city of toys and their relationship to each other as well as their ""God,"" an awkward and distant human man with an average job.",https://m.media-amazon.com/images/M/MV5BNWI2MzI2MzQtYzE4MC00ZTllLThmYzUtZjQyYTI1Y2M5NjU0XkEyXkFqcGc@._V1_.jpg,,,False,2024-06-17,2024,,142.0,"['Animation', 'Comedy', 'Drama']","['Animation', 'Comedy', 'Drama']",['US'],['https://youtu.be/hXulDH2jwvU?si=E_SH7y1-A8W4fh8B'],['en'],,[],,,6.8,173,
tt29452194,https://www.imdb.com/title/tt29452194/,Ugly Sweater,Ugly Sweater,movie,"Determined to study astrophysics at an Ivy League college, high-school senior Ruby faces her anxiety as it appears vividly in her dreams, prompted by a seemingly magical ugly Christmas sweater.",https://m.media-amazon.com/images/M/MV5BM2MwMWI5Y2ItYzc3ZC00OWVjLTk5ZTItOTQ5MGI5MGI0N2RmXkEyXkFqcGc@._V1_.jpg,,,False,2024-04-26,2024,,80.0,"['Animation', 'Drama']","['Animation', 'Drama']",['US'],['https://www.purplemagnetproductions.com/uglysweater'],['en'],,"[{'id': 'co0198113', 'name': 'Endless Films'}, {'id': 'co0976686', 'name': 'Purple Magnet Productions'}, {'id': 'co0842251', 'name': 'Tegmental'}]",,,7.0,13,
tt17044106,https://www.imdb.com/title/tt17044106/,Teacher's Pet,Teacher's Pet,movie,"When a dog wants to be a boy after watching Pinocchio, he meets a mad scientist who steals his mind. Now his owner, a lizard, and a parrot have to go into the timelines to give him pizza and save him.",https://m.media-amazon.com/images/M/MV5BNTgxYTVjYjItOTMzNy00NmYwLTgzODEtMGJkMDRjNTJkOTY0XkEyXkFqcGc@._V1_.jpg,,,False,2024-01-25,2024,,,['Animation'],['Animation'],"['AU', 'US']",,['en'],,"[{'id': 'co0878291', 'name': 'Studio Magnetica'}]",250000.0,,5.0,36,
tt28066777,https://www.imdb.com/title/tt28066777/,Orion and the Dark,Orion and the Dark,movie,"A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark.",https://m.media-amazon.com/images/M/MV5BMzgwNGU0NzEtZjMyMy00Mjc5LWFiMmYtMzIxNmY1OTIwYmU3XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=cScAQ2O26Y4,TV-Y7,False,2024-02-02,2024,,93.0,"['Adventure', 'Animation', 'Comedy']","['Computer Animation', 'Quirky Comedy', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Mystery']","['FR', 'US']",['https://www.netflix.com/title/81476885/'],['en'],"['Paris, France']","[{'id': 'co0129164', 'name': 'DreamWorks Animation'}, {'id': 'co0806775', 'name': 'Mikros Animation'}]",,,6.3,17342,72.0
tt32655777,https://www.imdb.com/title/tt32655777/,Shrek 5: The Contract - A Fan Made Film,Shrek 5: The Contract - A Fan Made Film,movie,"In this film, when all 4 of Shrek's old nemesis come back from the dead and kill Fiona, he must find a way to bring Fiona back from the dead via magical contract, all with the help of Donkey, Puss, and some new faces.",https://m.media-amazon.com/images/M/MV5BZThlNDAzZTAtZTZjZi00NmQ5LTk0MzYtNjk0Y2YxNTg3MmYzXkEyXkFqcGc@._V1_.jpg,,,False,2024-06-19,2024,,84.0,"['Adventure', 'Animation', 'Comedy']","['Adventure', 'Animation', 'Comedy', 'Fantasy', 'Romance']",['US'],['https://www.youtube.com/watch?v=7wn1hZt9mB0'],['en'],,[],245.0,,6.7,19,
